COD,TIPO_CLIENTE,TIPO_EMPRESTIMO,CD_SEXO,IDADE,QTD_DIVIDAS,TEMP_RECUPERACAO
217,TOMADOR,CDC,,54,2,
218,NOVO,PESSOAL,M,45,0,3
219,NOVO,PESSOAL,F,52,0,11
220,INVESTIDOR,RENEGOCIAÇÃO,F,48,2,33
221,INVESTIDOR,RENEGOCIAÇÃO,F,57,0,4
222,INVESTIDOR,CDC,M,31,15,26
223,NOVO,CDC,,30,1,
224,TOMADOR,CDC,F,37,16,7
225,NOVO,CDC,F,57,7,8
226,NOVO,CDC,M,30,1,2
227,INVESTIDOR,CDC,M,34,0,65
228,INVESTIDOR,RENEGOCIAÇÃO,,30,0,43
229,NOVO,CDC,M,,8,
230,INVESTIDOR,CDC,F,61,0,31
231,INVESTIDOR,CDC,,39,0,
232,NOVO,PESSOAL,M,35,16,
233,NOVO,CDC,F,64,0,7
234,INVESTIDOR,RENEGOCIAÇÃO,M,54,0,
235,TOMADOR,CDC,M,35,9,113
236,NOVO,CDC,M,47,11,
237,TOMADOR,CDC,F,37,0,9
238,INVESTIDOR,PESSOAL,F,31,2,
239,NOVO,RENEGOCIAÇÃO,I,42,0,6
240,INVESTIDOR,PESSOAL,F,43,0,
241,INVESTIDOR,CDC,M,62,16,
242,TOMADOR,RENEGOCIAÇÃO,F,43,6,17
243,NOVO,CDC,F,40,16,
244,NOVO,CDC,M,36,16,
245,NOVO,PESSOAL,F,61,3,84
246,NOVO,PESSOAL,M,30,15,
247,NOVO,CDC,M,48,0,15
248,TOMADOR,PESSOAL,F,42,6,
249,NOVO,CDC,M,56,1,17
250,TOMADOR,CDC,M,52,6,
251,NOVO,CDC,M,60,0,5
252,NOVO,CDC,M,39,12,
253,NOVO,CDC,M,28,0,6
254,NOVO,RENEGOCIAÇÃO,F,28,8,
255,NOVO,RENEGOCIAÇÃO,M,45,16,8
256,INVESTIDOR,CDC,M,32,2,
257,NOVO,CDC,M,45,0,10
258,NOVO,RENEGOCIAÇÃO,F,46,0,6
259,NOVO,PESSOAL,F,36,16,
260,TOMADOR,CDC,M,30,7,
261,NOVO,CDC,F,35,16,
262,NOVO,CDC,F,40,10,
263,NOVO,CDC,F,,2,
264,NOVO,CDC,F,36,0,8
265,TOMADOR,RENEGOCIAÇÃO,,54,16,
266,NOVO,PESSOAL,F,45,16,
267,NOVO,CDC,,22,1,20
268,NOVO,CDC,M,,1,29
269,NOVO,RENEGOCIAÇÃO,F,24,10,27
270,NOVO,RENEGOCIAÇÃO,M,33,2,95
271,TOMADOR,PESSOAL,,27,16,29
272,NOVO,CDC,M,21,2,
273,TOMADOR,CDC,F,39,2,46
274,NOVO,PESSOAL,M,34,0,
275,NOVO,CDC,M,25,4,
276,INVESTIDOR,PESSOAL,M,,7,17
277,INVESTIDOR,PESSOAL,M,35,0,40
278,TOMADOR,CDC,M,29,1,8
279,NOVO,CDC,M,49,3,24
280,TOMADOR,CDC,M,34,8,
281,NOVO,CDC,F,21,0,22
282,INVESTIDOR,RENEGOCIAÇÃO,M,45,0,21
283,NOVO,CDC,M,65,0,13
284,NOVO,CDC,M,42,7,
285,INVESTIDOR,CDC,I,49,0,
286,NOVO,CDC,M,48,16,
287,INVESTIDOR,RENEGOCIAÇÃO,I,36,0,4
288,TOMADOR,CDC,F,29,1,
289,NOVO,CDC,F,49,16,
290,NOVO,RENEGOCIAÇÃO,M,36,4,23
291,NOVO,CDC,F,52,16,
292,NOVO,CDC,M,,16,
293,NOVO,RENEGOCIAÇÃO,,26,8,7
294,NOVO,RENEGOCIAÇÃO,M,24,16,
295,INVESTIDOR,CDC,I,31,7,17
296,NOVO,PESSOAL,M,,3,23
297,INVESTIDOR,CDC,M,,0,16
298,INVESTIDOR,CDC,M,57,16,15
299,NOVO,CDC,M,21,16,
300,INVESTIDOR,CDC,F,,16,32
301,NOVO,CDC,M,52,16,138
302,TOMADOR,CDC,M,21,0,9
303,NOVO,CDC,M,44,4,
304,TOMADOR,CDC,F,56,3,3
305,NOVO,PESSOAL,M,31,4,
306,TOMADOR,CDC,M,28,0,2
307,NOVO,CDC,F,,16,
308,INVESTIDOR,RENEGOCIAÇÃO,F,36,0,5
309,NOVO,PESSOAL,F,25,16,
310,NOVO,CDC,M,28,16,
311,NOVO,RENEGOCIAÇÃO,F,29,0,12
312,INVESTIDOR,CDC,M,30,0,11
313,NOVO,PESSOAL,M,43,16,
314,INVESTIDOR,CDC,F,45,0,15
315,NOVO,PESSOAL,,30,0,16
316,NOVO,CDC,M,36,5,
317,INVESTIDOR,RENEGOCIAÇÃO,M,43,0,
318,NOVO,RENEGOCIAÇÃO,M,30,0,8
319,INVESTIDOR,RENEGOCIAÇÃO,F,34,1,
320,NOVO,RENEGOCIAÇÃO,M,28,0,40
321,INVESTIDOR,CDC,M,54,0,32
322,NOVO,PESSOAL,F,32,0,3
323,NOVO,PESSOAL,F,23,7,
